SL.NO,DESCRIPTION,RESPONSIBLE_AGENCY,QTY,DURATION,WEIGHT_KG,TOTAL_WEIGHT_KG,UNIT_RATE_INR,TOTAL_BUDGET,DATE,PROJECT_NAME,APPROVED_BY,CURRENCY
4530,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,23090,Monthly,6.36,146852.4,1538.77,35530199.3,2024-02-05,BHEL Ranipet L1,Srividhya,INR
4531,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,19822,One time,19.47,385934.34,1232.82,24436958.04,2024-10-07,BHEL Ranipet L1,Magesh,INR
4532,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,16494,Monthly,5.69,93850.86,1784.26,29429584.44,2024-05-27,BHEL Haridwar P3,Ravi,INR
4533,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,24180,Quarterly,1.56,37720.8,733.25,17729985.0,2025-01-02,BHEL Haridwar P3,Srividhya,INR
4534,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,5390,Monthly,8.68,46785.2,445.13,2399250.7,2025-03-06,BHEL Trichy T2,Ravi,INR
4535,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,13023,Quarterly,0.66,8595.18,558.87,7278164.01,2024-04-02,BHEL Ranipet L1,Ravi,INR
4536,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,14438,One time,16.49,238082.62,1456.41,21027647.58,2024-08-18,BHEL Ranipet L1,Kumar,INR
4537,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,13956,One time,19.12,266838.72,1957.48,27318590.88,2025-03-01,BHEL Haridwar P3,Ravi,INR
4538,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,4474,Monthly,11.18,50019.32,1728.44,7733040.56,2024-01-11,BHEL Haridwar P3,Mani,INR
4539,Complete manufacturing of Grip Coupling for ESP,Tetakisu,14787,One time,14.9,220326.3,182.61,2700254.07,2024-05-22,BHEL Haridwar P3,Mani,INR
4540,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,21919,Quarterly,1.7,37262.3,1751.1,38382360.9,2024-03-10,BHEL Trichy T2,Ravi,INR
4541,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,17781,One time,8.95,159139.95,1695.82,30153375.42,2024-12-08,BHEL Haridwar P3,Kumar,INR
4542,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,16587,Quarterly,19.73,327261.51,215.02,3566536.74,2024-12-09,BHEL Haridwar P3,Ravi,INR
4543,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,17097,One time,22.08,377501.76,246.09,4207400.73,2024-10-15,BHEL Trichy T2,Ravi,INR
4544,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,10524,Quarterly,1.19,12523.56,1007.17,10599457.08,2024-04-13,BHEL Haridwar P3,Srividhya,INR
4545,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,13290,Monthly,20.05,266464.5,1387.4,18438546.0,2024-10-30,BHEL Ranipet L1,Magesh,INR
4546,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,4436,One time,9.53,42275.08,518.31,2299223.16,2025-01-08,BHEL Haridwar P3,Ravi,INR
4547,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,24440,Monthly,19.67,480734.8,1239.13,30284337.2,2024-06-29,BHEL Ranipet L1,Mani,INR
4548,Complete manufacturing of Bearings for ESP,Cando Engineering,3968,Quarterly,11.94,47377.92,568.08,2254141.44,2025-02-18,BHEL Haridwar P3,Kumar,INR
4549,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,6697,Quarterly,13.76,92150.72,1124.44,7530374.68,2025-01-09,BHEL Ranipet L1,Ravi,INR
4550,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,9089,Monthly,11.51,104614.39,1961.74,17830254.86,2024-09-12,BHEL Trichy T2,Kumar,INR
4551,Complete manufacturing of Shaft for ESP,Cando Engineering,20626,Monthly,16.83,347135.58,1892.99,39044811.74,2024-12-01,BHEL Haridwar P3,Srividhya,INR
4552,Complete manufacturing of Shaft for ESP,Tetakisu,12717,Quarterly,15.31,194697.27,1201.0,15273117.0,2025-01-19,BHEL Ranipet L1,Magesh,INR
4553,Complete manufacturing of Shaft I for ESP,Tetakisu,1682,One time,15.49,26054.18,170.08,286074.56,2024-07-13,BHEL Trichy T2,Ravi,INR
4554,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,5372,Quarterly,20.34,109266.48,268.28,1441200.16,2024-02-15,BHEL Haridwar P3,Ravi,INR
4555,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,7408,Quarterly,6.35,47040.8,123.26,913110.08,2024-11-17,BHEL Ranipet L1,Magesh,INR
4556,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,18745,One time,1.47,27555.15,1300.72,24381996.4,2024-09-28,BHEL Ranipet L1,Kumar,INR
4557,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,12752,One time,6.27,79955.04,1694.05,21602525.6,2024-04-01,BHEL Trichy T2,Magesh,INR
4558,Complete manufacturing of Grip Coupling for ESP,Tetakisu,20102,Monthly,7.28,146342.56,1120.28,22519868.56,2024-09-08,BHEL Trichy T2,Ravi,INR
4559,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,4226,One time,14.18,59924.68,836.3,3534203.8,2025-03-13,BHEL Haridwar P3,Kumar,INR
4560,Complete manufacturing of Shaft for ESP,Cando Engineering,24945,Quarterly,3.49,87058.05,499.98,12472001.1,2024-03-25,BHEL Ranipet L1,Magesh,INR
4561,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,3210,Quarterly,16.3,52323.0,1045.83,3357114.3,2024-06-20,BHEL Ranipet L1,Magesh,INR
4562,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,22967,Monthly,20.37,467837.79,906.79,20826245.93,2025-03-04,BHEL Haridwar P3,Mani,INR
4563,Complete manufacturing of Shaft I for ESP,Cando Engineering,16305,Monthly,16.67,271804.35,1463.3,23859106.5,2025-02-03,BHEL Haridwar P3,Mani,INR
4564,Complete manufacturing of Bearings for ESP,Cando Engineering,7179,One time,22.91,164470.89,1355.17,9728765.43,2024-04-18,BHEL Trichy T2,Srividhya,INR
4565,Complete manufacturing of Shaft for ESP,Cando Engineering,8614,Monthly,23.16,199500.24,199.16,1715564.24,2024-12-19,BHEL Trichy T2,Ravi,INR
4566,Complete manufacturing of Shaft I for ESP,Sub Contractor,19754,One time,22.55,445452.7,945.88,18684913.52,2024-01-26,BHEL Haridwar P3,Srividhya,INR
4567,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,24521,One time,9.82,240796.22,1418.57,34784754.97,2024-07-10,BHEL Trichy T2,Srividhya,INR
4568,Complete manufacturing of Bearings for ESP,Tetakisu,20547,Quarterly,5.33,109515.51,1174.4,24130396.8,2024-07-27,BHEL Haridwar P3,Ravi,INR
4569,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,656,Monthly,13.66,8960.96,682.8,447916.8,2024-07-23,BHEL Haridwar P3,Srividhya,INR
4570,Complete manufacturing of Shaft for ESP,Cando Engineering,9217,One time,1.98,18249.66,1447.87,13345017.79,2024-01-09,BHEL Trichy T2,Magesh,INR
4571,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,19931,Quarterly,6.88,137125.28,426.26,8495788.06,2024-05-22,BHEL Haridwar P3,Magesh,INR
4572,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,3999,Monthly,20.09,80339.91,1034.61,4137405.39,2025-03-25,BHEL Haridwar P3,Kumar,INR
4573,Complete manufacturing of Bearings for ESP,Sub Contractor,7516,One time,19.19,144232.04,1732.19,13019140.04,2024-10-27,BHEL Ranipet L1,Srividhya,INR
4574,Complete manufacturing of Bearings for ESP,Cando Engineering,7385,Monthly,8.01,59153.85,1030.45,7609873.25,2024-11-20,BHEL Ranipet L1,Mani,INR
4575,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,23982,Quarterly,1.42,34054.44,417.87,10021358.34,2024-08-22,BHEL Trichy T2,Ravi,INR
4576,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,14001,Quarterly,21.12,295701.12,1763.64,24692723.64,2024-03-23,BHEL Trichy T2,Magesh,INR
4577,Complete manufacturing of Shaft I for ESP,Cando Engineering,11095,Quarterly,10.7,118716.5,367.2,4074084.0,2024-04-01,BHEL Ranipet L1,Magesh,INR
4578,Complete manufacturing of Shaft I for ESP,Cando Engineering,13259,Monthly,17.88,237070.92,380.75,5048364.25,2024-12-05,BHEL Ranipet L1,Kumar,INR
4579,Complete manufacturing of Shaft I for ESP,Sub Contractor,16562,One time,18.89,312856.18,529.93,8776700.66,2024-05-31,BHEL Ranipet L1,Srividhya,INR
4580,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,2533,Monthly,23.18,58714.94,1674.74,4242116.42,2024-05-12,BHEL Trichy T2,Mani,INR
4581,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,14168,One time,20.0,283360.0,537.18,7610766.24,2024-10-19,BHEL Haridwar P3,Mani,INR
4582,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,19442,Quarterly,3.15,61242.3,420.28,8171083.76,2024-03-09,BHEL Ranipet L1,Srividhya,INR
4583,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,24755,One time,0.51,12625.05,382.39,9466064.45,2024-05-29,BHEL Haridwar P3,Mani,INR
4584,Complete manufacturing of Bearings for ESP,Cando Engineering,13586,One time,9.88,134229.68,131.13,1781532.18,2024-11-06,BHEL Trichy T2,Ravi,INR
4585,Complete manufacturing of Shaft I for ESP,Sub Contractor,17827,Monthly,23.88,425708.76,704.76,12563756.52,2024-03-03,BHEL Ranipet L1,Magesh,INR
4586,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,14745,Quarterly,9.31,137275.95,1617.06,23843549.7,2024-03-12,BHEL Haridwar P3,Srividhya,INR
4587,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,11272,Quarterly,17.57,198049.04,1764.57,19890233.04,2024-10-09,BHEL Ranipet L1,Ravi,INR
4588,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,22355,Quarterly,18.31,409320.05,1120.17,25041400.35,2024-10-16,BHEL Ranipet L1,Srividhya,INR
4589,Complete manufacturing of Shaft for ESP,Cando Engineering,19919,One time,4.67,93021.73,1638.16,32630509.04,2025-03-17,BHEL Ranipet L1,Mani,INR
4590,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,5743,Monthly,14.78,84881.54,1234.83,7091628.69,2024-09-14,BHEL Ranipet L1,Srividhya,INR
4591,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,724,One time,5.8,4199.2,1050.8,760779.2,2024-07-04,BHEL Haridwar P3,Ravi,INR
4592,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,19521,One time,7.47,145821.87,378.4,7386746.4,2024-06-13,BHEL Ranipet L1,Mani,INR
4593,Complete manufacturing of Grip Coupling for ESP,Tetakisu,23785,One time,3.15,74922.75,638.84,15194809.4,2024-01-22,BHEL Ranipet L1,Mani,INR
4594,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,23497,Quarterly,11.18,262696.46,1960.4,46063518.8,2024-09-19,BHEL Haridwar P3,Ravi,INR
4595,Complete manufacturing of Bearings for ESP,Cando Engineering,20955,Quarterly,13.82,289598.1,1397.51,29284822.05,2024-03-16,BHEL Trichy T2,Magesh,INR
4596,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,8603,Monthly,9.95,85599.85,1779.48,15308866.44,2024-06-16,BHEL Haridwar P3,Mani,INR
4597,Complete manufacturing of Bearings for ESP,Cando Engineering,9449,Monthly,16.16,152695.84,291.32,2752682.68,2024-06-09,BHEL Ranipet L1,Magesh,INR
4598,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,18841,Monthly,1.12,21101.92,235.45,4436113.45,2024-04-07,BHEL Ranipet L1,Kumar,INR
4599,Complete manufacturing of Shaft I for ESP,Tetakisu,7634,One time,9.3,70996.2,1666.2,12719770.8,2024-09-30,BHEL Ranipet L1,Magesh,INR
4600,Complete manufacturing of Shaft I for ESP,Tetakisu,18297,Quarterly,23.39,427966.83,1947.05,35625173.85,2025-01-07,BHEL Ranipet L1,Magesh,INR
4601,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,13428,One time,23.6,316900.8,979.4,13151383.2,2024-02-11,BHEL Haridwar P3,Magesh,INR
4602,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,828,One time,8.17,6764.76,1877.72,1554752.16,2025-01-22,BHEL Trichy T2,Magesh,INR
4603,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,14951,One time,20.43,305448.93,974.47,14569300.97,2024-01-16,BHEL Trichy T2,Magesh,INR
4604,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,21858,Monthly,23.37,510821.46,1338.32,29252998.56,2025-01-19,BHEL Haridwar P3,Ravi,INR
4605,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,23710,Quarterly,22.79,540350.9,639.65,15166101.5,2024-10-03,BHEL Haridwar P3,Ravi,INR
4606,Complete manufacturing of Bearings for ESP,Tetakisu,2958,One time,11.5,34017.0,709.18,2097754.44,2025-02-10,BHEL Trichy T2,Mani,INR
4607,Complete manufacturing of Grip Coupling for ESP,Tetakisu,7665,Monthly,1.38,10577.7,1593.19,12211801.35,2025-03-13,BHEL Ranipet L1,Mani,INR
4608,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,5239,Quarterly,20.06,105094.34,1618.44,8479007.16,2024-03-11,BHEL Trichy T2,Srividhya,INR
4609,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,11849,Quarterly,22.19,262929.31,901.89,10686494.61,2025-02-19,BHEL Haridwar P3,Kumar,INR
4610,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,19948,One time,12.39,247155.72,1695.81,33828017.88,2025-01-20,BHEL Haridwar P3,Magesh,INR
4611,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,23415,One time,5.88,137680.2,1332.25,31194633.75,2025-02-16,BHEL Haridwar P3,Magesh,INR
4612,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,12995,Monthly,5.2,67574.0,1357.7,17643311.5,2024-03-26,BHEL Trichy T2,Kumar,INR
4613,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,17407,One time,12.21,212539.47,1968.41,34264112.87,2024-01-21,BHEL Trichy T2,Magesh,INR
4614,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,12043,Quarterly,19.45,234236.35,500.42,6026558.06,2024-09-23,BHEL Haridwar P3,Kumar,INR
4615,Complete manufacturing of Shaft I for ESP,Tetakisu,2819,One time,18.27,51503.13,1379.3,3888246.7,2024-10-30,BHEL Ranipet L1,Mani,INR
4616,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,10944,One time,8.16,89303.04,961.78,10525720.32,2024-01-30,BHEL Trichy T2,Mani,INR
4617,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,21977,One time,12.64,277789.28,781.16,17167553.32,2025-01-05,BHEL Haridwar P3,Kumar,INR
4618,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,19057,Quarterly,16.64,317108.48,1238.37,23599617.09,2025-02-09,BHEL Trichy T2,Magesh,INR
4619,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,15444,Quarterly,12.86,198609.84,1423.48,21984225.12,2024-07-31,BHEL Ranipet L1,Mani,INR
4620,Complete manufacturing of Shaft for ESP,Sub Contractor,11161,Monthly,9.28,103574.08,1241.23,13853368.03,2025-02-25,BHEL Trichy T2,Kumar,INR
4621,Complete manufacturing of Shaft I for ESP,Cando Engineering,9606,Monthly,4.7,45148.2,1805.44,17343056.64,2024-10-25,BHEL Trichy T2,Srividhya,INR
4622,Complete manufacturing of Grip Coupling for ESP,Tetakisu,6690,Monthly,1.35,9031.5,688.44,4605663.6,2024-02-04,BHEL Trichy T2,Srividhya,INR
4623,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,7321,Monthly,17.37,127165.77,263.98,1932597.58,2025-01-17,BHEL Haridwar P3,Mani,INR
4624,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,16814,Quarterly,8.89,149476.46,1361.42,22890915.88,2025-03-16,BHEL Trichy T2,Magesh,INR
4625,Complete manufacturing of Bearings for ESP,Cando Engineering,24556,Monthly,0.74,18171.44,1714.33,42097087.48,2025-01-10,BHEL Ranipet L1,Srividhya,INR
4626,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,8277,Quarterly,22.13,183170.01,1815.94,15030535.38,2024-03-13,BHEL Ranipet L1,Srividhya,INR
4627,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,23505,Quarterly,21.16,497365.8,1584.35,37240146.75,2024-08-26,BHEL Ranipet L1,Magesh,INR
4628,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,7593,Monthly,20.73,157402.89,268.47,2038492.71,2024-09-21,BHEL Ranipet L1,Ravi,INR
4629,Complete manufacturing of Grip Coupling for ESP,Tetakisu,12077,Quarterly,17.03,205671.31,1496.36,18071539.72,2025-03-12,BHEL Haridwar P3,Srividhya,INR
4630,Complete manufacturing of Shaft for ESP,Sub Contractor,2813,One time,11.31,31815.03,668.49,1880462.37,2024-10-24,BHEL Trichy T2,Magesh,INR
4631,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,7625,One time,2.65,20206.25,1232.33,9396516.25,2024-04-15,BHEL Ranipet L1,Mani,INR
4632,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,5807,One time,1.82,10568.74,892.37,5181992.59,2025-01-27,BHEL Trichy T2,Kumar,INR
4633,Complete manufacturing of Shaft I for ESP,Sub Contractor,1376,One time,20.44,28125.44,1088.47,1497734.72,2024-09-17,BHEL Ranipet L1,Magesh,INR
4634,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,10259,Monthly,23.82,244369.38,1444.76,14821792.84,2024-12-12,BHEL Ranipet L1,Mani,INR
4635,Complete manufacturing of Shaft for ESP,Sub Contractor,16910,One time,7.96,134603.6,1427.52,24139363.2,2024-01-13,BHEL Haridwar P3,Mani,INR
4636,Complete manufacturing of Bearings for ESP,Sub Contractor,4914,Monthly,6.91,33955.74,874.18,4295720.52,2024-08-05,BHEL Haridwar P3,Kumar,INR
4637,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,21521,Monthly,5.19,111693.99,1531.0,32948651.0,2024-05-24,BHEL Haridwar P3,Kumar,INR
4638,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,852,One time,16.79,14305.08,1927.16,1641940.32,2024-05-23,BHEL Ranipet L1,Srividhya,INR
4639,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,8882,One time,18.24,162007.68,648.23,5757578.86,2024-03-07,BHEL Ranipet L1,Mani,INR
4640,Complete manufacturing of Bearings for ESP,Cando Engineering,2673,One time,20.22,54048.06,623.75,1667283.75,2024-07-21,BHEL Ranipet L1,Mani,INR
4641,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,4121,One time,3.49,14382.29,705.64,2907942.44,2024-06-19,BHEL Haridwar P3,Ravi,INR
4642,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,4863,One time,18.16,88312.08,1531.69,7448608.47,2024-03-16,BHEL Haridwar P3,Magesh,INR
4643,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,20055,Quarterly,10.87,217997.85,1728.22,34659452.1,2024-12-20,BHEL Trichy T2,Magesh,INR
4644,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,16527,Quarterly,19.98,330209.46,199.67,3299946.09,2024-09-24,BHEL Haridwar P3,Kumar,INR
4645,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,23939,Monthly,22.7,543415.3,1655.18,39623354.02,2024-09-08,BHEL Trichy T2,Ravi,INR
4646,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,12659,One time,5.83,73801.97,986.75,12491268.25,2024-12-02,BHEL Ranipet L1,Magesh,INR
4647,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,20372,Monthly,2.56,52152.32,1943.37,39590333.64,2024-04-24,BHEL Haridwar P3,Ravi,INR
4648,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,1867,Quarterly,12.91,24102.97,488.41,911861.47,2024-05-20,BHEL Trichy T2,Mani,INR
4649,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,10955,Quarterly,18.61,203872.55,849.28,9303862.4,2024-09-18,BHEL Ranipet L1,Ravi,INR
4650,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,9693,One time,13.69,132697.17,1802.72,17473764.96,2024-01-16,BHEL Trichy T2,Kumar,INR
4651,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,10713,Monthly,17.09,183085.17,533.55,5715921.15,2024-11-20,BHEL Ranipet L1,Srividhya,INR
4652,Complete manufacturing of Bearings for ESP,Cando Engineering,17211,Quarterly,15.69,270040.59,1818.99,31306636.89,2024-02-24,BHEL Haridwar P3,Srividhya,INR
4653,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,24102,One time,1.31,31573.62,1806.03,43528935.06,2025-02-27,BHEL Trichy T2,Kumar,INR
4654,Complete manufacturing of Shaft for ESP,Tetakisu,19621,One time,11.48,225249.08,1364.83,26779329.43,2024-06-10,BHEL Trichy T2,Mani,INR
4655,Complete manufacturing of Bearings for ESP,Tetakisu,17426,Quarterly,21.26,370476.76,1797.99,31331773.74,2024-01-05,BHEL Ranipet L1,Mani,INR
4656,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,21303,One time,19.31,411360.93,434.58,9257857.74,2024-10-13,BHEL Haridwar P3,Srividhya,INR
4657,Complete manufacturing of Shaft for ESP,Sub Contractor,23004,Quarterly,9.3,213937.2,1315.32,30257621.28,2025-01-03,BHEL Trichy T2,Magesh,INR
4658,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,9248,Quarterly,23.46,216958.08,1706.37,15780509.76,2024-08-18,BHEL Haridwar P3,Kumar,INR
4659,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,15443,Quarterly,17.61,271951.23,1031.5,15929454.5,2024-09-26,BHEL Haridwar P3,Kumar,INR
4660,Complete manufacturing of Shaft for ESP,Tetakisu,3968,One time,18.64,73963.52,938.29,3723134.72,2024-03-12,BHEL Haridwar P3,Mani,INR
4661,Complete manufacturing of Shaft I for ESP,Sub Contractor,20768,Quarterly,12.62,262092.16,1941.31,40317126.08,2024-03-04,BHEL Ranipet L1,Srividhya,INR
4662,Complete manufacturing of Bearings for ESP,Sub Contractor,23047,Quarterly,9.49,218716.03,1008.97,23253731.59,2024-12-20,BHEL Ranipet L1,Srividhya,INR
4663,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,23242,Quarterly,14.02,325852.84,847.27,19692249.34,2024-02-11,BHEL Haridwar P3,Ravi,INR
4664,Complete manufacturing of Shaft I for ESP,Cando Engineering,5380,Quarterly,3.59,19314.2,620.07,3335976.6,2025-02-25,BHEL Trichy T2,Mani,INR
4665,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,18946,Monthly,10.65,201774.9,210.22,3982828.12,2025-02-16,BHEL Ranipet L1,Mani,INR
4666,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,15776,One time,6.16,97180.16,356.21,5619568.96,2024-08-25,BHEL Ranipet L1,Srividhya,INR
4667,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,7844,One time,11.86,93029.84,312.48,2451093.12,2025-03-06,BHEL Trichy T2,Ravi,INR
4668,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,22037,Quarterly,15.22,335403.14,1631.21,35946974.77,2024-01-31,BHEL Ranipet L1,Mani,INR
4669,Complete manufacturing of Shaft I for ESP,Tetakisu,17323,One time,20.17,349404.91,912.51,15807410.73,2024-10-31,BHEL Haridwar P3,Kumar,INR
4670,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,9056,Quarterly,21.12,191262.72,363.65,3293214.4,2024-08-27,BHEL Ranipet L1,Srividhya,INR
4671,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,3949,Monthly,5.2,20534.8,231.83,915496.67,2024-08-06,BHEL Trichy T2,Magesh,INR
4672,Complete manufacturing of Shaft for ESP,Tetakisu,3243,Quarterly,23.1,74913.3,1394.21,4521423.03,2025-02-21,BHEL Trichy T2,Mani,INR
4673,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,5941,Quarterly,9.5,56439.5,207.31,1231628.71,2025-02-22,BHEL Trichy T2,Mani,INR
4674,Complete manufacturing of Grip Coupling for ESP,Tetakisu,9387,One time,22.64,212521.68,947.57,8894839.59,2024-04-11,BHEL Haridwar P3,Magesh,INR
4675,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,22868,Quarterly,7.75,177227.0,1946.38,44509817.84,2025-02-10,BHEL Haridwar P3,Srividhya,INR
4676,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,5024,Quarterly,2.74,13765.76,1316.34,6613292.16,2024-03-20,BHEL Ranipet L1,Mani,INR
4677,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,8948,One time,16.11,144152.28,271.41,2428576.68,2025-03-04,BHEL Ranipet L1,Magesh,INR
4678,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,879,Quarterly,3.01,2645.79,1487.16,1307213.64,2024-11-28,BHEL Haridwar P3,Magesh,INR
4679,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,12312,One time,4.83,59466.96,1956.65,24090274.8,2024-06-07,BHEL Trichy T2,Magesh,INR
4680,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,14843,Monthly,24.67,366176.81,526.47,7814394.21,2025-01-21,BHEL Trichy T2,Magesh,INR
4681,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,22447,One time,8.24,184963.28,877.62,19699936.14,2024-03-04,BHEL Trichy T2,Mani,INR
4682,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,22391,Monthly,14.49,324445.59,1241.66,27802009.06,2024-05-18,BHEL Haridwar P3,Magesh,INR
4683,Complete manufacturing of Bearings for ESP,Sub Contractor,17996,Quarterly,21.35,384214.6,692.43,12460970.28,2024-04-17,BHEL Trichy T2,Srividhya,INR
4684,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,13655,Monthly,3.62,49431.1,1300.25,17754913.75,2024-07-07,BHEL Ranipet L1,Kumar,INR
4685,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,20555,Monthly,20.52,421788.6,1330.97,27358088.35,2024-01-17,BHEL Ranipet L1,Magesh,INR
4686,Complete manufacturing of Shaft for ESP,Tetakisu,11881,Monthly,9.58,113819.98,498.48,5922440.88,2024-06-27,BHEL Haridwar P3,Mani,INR
4687,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,22443,Monthly,23.36,524268.48,699.86,15706957.98,2024-11-26,BHEL Ranipet L1,Kumar,INR
4688,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,11512,One time,23.19,266963.28,1016.88,11706322.56,2024-01-24,BHEL Trichy T2,Kumar,INR
4689,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,7440,Quarterly,6.85,50964.0,1590.37,11832352.8,2024-05-30,BHEL Ranipet L1,Srividhya,INR
